"Respondent ID","Start Date",EndDate,"IP Address","Country Code","Country Name","XML Core",,,,,"XML other",,,,,,,,,,"Any other core XML technologies you would like to mention ?","XML Transformation",,,,,,,,"XML Processing",,,,"XML Schema",,,,"XML 'semantics'",,,,,"Any other Semantic technologies you would like to mention ?","XML Vocabularies",,,,,,,,,,,,,,,,,,,,,,"Any other XML Vocabularies you want to mention ?","Click  the following which most closely matches your current data scenarios ?","Data - rank each data type",,,,,,,,,"Any other comments about this survey ?",Type,Platform,Agent,Referrer
,,,,,,"XML 1.0","XML Infoset",Namespaces,xml:base,xml:id,"XML Canonicalization","Efficient XML Interchange (EXI)",XSL-FO,"XML Pipeline (XProc)",XInclude,XPointer,XForms,"XHTML Modularization",XHTML,XLink,,"XSLT 1.0 in the browser","XSLT 1.0","XSLT 2.0","XQuery 1.0","XQuery 3.0 (draft)","XSLT 2.0 in the browser (saxon-ce)","XSLT 3.0  (draft)","XQuery 1.0 in the browser (XQib)",SAX,XOM,DOM,StAX,"XML Schema 1.0","XML Schema 1.1",RelaxNG,Schematron,RDF,"Topic Maps",SPARQL,,OWL,,MathML,SVG,Docbook,FpML,XBRL,HR-XML,NewsML,SOAP,WSDL,TEI,XACML,XUL,"XML Digital Signature",XML/EDI,SMIL,xCAl,UBL,SAML,"Office Document XML formats",DITA,EPUB,"Ebook XML",,Response,Text,Binary,JSON,XML,"Relational Databases","Graph Databases","Object Databases",EBooks,"Office Document XML formats",,,,,
31306208,"2012-09-16 08:19:03","2012-09-16 08:22:09",98.114.41.205,US,"United States","Important & Urgent",relevant,"Important & Urgent","not relevant","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","not relevant","Important but Not Urgent","not relevant","not relevant","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","not relevant",,"important but not urgent","important & urgent","important & urgent","important & urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important but not urgent","important & urgent","not relevant","important & urgent","important but not urgent","important but not urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent",,"important but not urgent",,"not relevant","important but not urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent",,,,,"I live and breath BigData, I embrace and plan for data heterogeneity from the start, I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies",,,,,,,,,,,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",
31306256,"2012-09-16 08:17:28","2012-09-16 08:23:06",85.225.210.123,SE,Sweden,"Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,relevant,"Important & Urgent",,"Important & Urgent","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent",,"not relevant","not relevant","important & urgent","important & urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent",relevant,"important & urgent","important & urgent","important & urgent","important but not urgent",relevant,relevant,"important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent",,,"important & urgent",relevant,"not relevant","important & urgent",relevant,"not relevant","important & urgent","important & urgent",relevant,relevant,relevant,relevant,"important but not urgent","not relevant","not relevant","not relevant","important but not urgent",relevant,,,,,"I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies, I live in RDBMS land",,,,,,,,,,,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
31306273,"2012-09-16 08:21:32","2012-09-16 08:23:26",85.160.19.244,CZ,"Czech Republic",relevant,relevant,relevant,relevant,relevant,"Important & Urgent",relevant,"not relevant","Important but Not Urgent","not relevant","not relevant",,"not relevant","not relevant","not relevant",,"not relevant","not relevant",relevant,relevant,relevant,"important but not urgent",relevant,"important but not urgent",relevant,relevant,relevant,relevant,"not relevant",relevant,relevant,relevant,relevant,"not relevant",relevant,,relevant,,relevant,relevant,relevant,relevant,relevant,"not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant",relevant,relevant,"not relevant",relevant,relevant,relevant,,,,,"I live and breath BigData, I live in RDBMS land, I live and breath the Web + JSON stack, I embrace and plan for data heterogeneity from the start, I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack",,,,,,,,,,,"Browser, Direct",,,
31307169,"2012-09-16 08:40:14","2012-09-16 08:45:26",86.72.54.247,FR,France,"Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,"Important & Urgent","Important & Urgent","Important but Not Urgent","Important but Not Urgent",relevant,relevant,relevant,"Important & Urgent","Important & Urgent","Important & Urgent",relevant,,"important & urgent","important & urgent","important & urgent","important & urgent","important & urgent","important & urgent","important & urgent","important & urgent",relevant,relevant,"important but not urgent",relevant,"important & urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent",,"important but not urgent",,"important but not urgent","important & urgent","important & urgent",relevant,relevant,"important but not urgent","important but not urgent",relevant,relevant,"important & urgent",relevant,"not relevant",relevant,"important but not urgent",relevant,"important but not urgent",relevant,relevant,"important but not urgent",,,,,"I live and breath the XML stack",,,,,,,,,,,"Browser, Direct",,,
31307256,"2012-09-16 08:43:40","2012-09-16 08:47:03",76.179.98.16,US,"United States","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,"not relevant","Important but Not Urgent","not relevant",relevant,"not relevant","not relevant",relevant,"Important & Urgent",relevant,,"important & urgent","important & urgent","important & urgent","important & urgent","important but not urgent",relevant,relevant,relevant,relevant,relevant,"important & urgent","not relevant","not relevant","not relevant","important but not urgent","important & urgent","not relevant","not relevant","not relevant",,"not relevant",,"important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,,,"NLM JATS","I live and breath the XML stack",,,,,,,,,,,"Browser, Direct","Windows 7","Chrome 0.0",
31307377,"2012-09-16 08:44:51","2012-09-16 08:49:53",82.230.92.154,FR,France,"Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important but Not Urgent","not relevant","not relevant",relevant,"not relevant","XML Security","important & urgent","important & urgent","important & urgent",relevant,relevant,"important & urgent","important & urgent","not relevant","important but not urgent","important but not urgent",relevant,"important & urgent","important & urgent",relevant,"important & urgent","important & urgent",relevant,relevant,relevant,,relevant,SDMX,"important & urgent","important & urgent",relevant,relevant,relevant,relevant,"important but not urgent",relevant,relevant,relevant,"not relevant","not relevant","important & urgent","not relevant",relevant,"not relevant","not relevant","not relevant",relevant,,,,,"I live and breath the XML stack",,,,,,,,,,,"Browser, Direct","Mac OS X 10.7","Safari 0.0",
31307874,"2012-09-16 08:55:01","2012-09-16 09:01:23",69.242.150.63,US,"United States","Important & Urgent","not relevant","Important & Urgent","not relevant","not relevant","Important but Not Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Perhaps out of scope, but XML/JSON interoperability.","not relevant","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","important & urgent","not relevant","important & urgent","important & urgent","not relevant","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","UN/CEFACT Core Components Technical Specification","not relevant","important but not urgent","not relevant","important but not urgent","not relevant","important & urgent","not relevant","important & urgent","important & urgent","not relevant","not relevant","not relevant","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","important but not urgent","not relevant",,,,"OAGIS (http://www.oagi.org)","I live and breath the XML stack, I live and breath the Web + JSON stack, I live in RDBMS land, I embrace and plan for data heterogeneity from the start, I want to learn more about BigData, I want to reduce complexity in my data tooling/technologies",,,,,,,,,,,"Browser, Direct","Mac OS X 10.8","Safari 0.0",
31308146,"2012-09-16 09:01:43","2012-09-16 09:07:22",87.212.158.103,NL,Netherlands,"Important & Urgent","Important but Not Urgent","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important & Urgent","Not Important but Urgent","Important but Not Urgent","Not Important but Urgent","Not Important but Urgent","Not Important but Urgent","not relevant","Not Important but Urgent","Important but Not Urgent","not relevant",no,"important & urgent","important & urgent","important but not urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important but not urgent","important & urgent","important but not urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not important but urgent",,"important but not urgent","important & urgent","important & urgent","important but not urgent","important & urgent",,"important but not urgent","important & urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important & urgent","important but not urgent",,"important but not urgent","important but not urgent","important & urgent",,,,no,"I live and breath the XML stack, I live and breath the Web + JSON stack, I live in RDBMS land, I embrace and plan for data heterogeneity from the start",,,,,,,,,,no,"Browser, Direct",,,
31308702,"2012-09-16 09:14:37","2012-09-16 09:20:21",46.65.14.244,GB,"United Kingdom","Important & Urgent","not relevant","Important & Urgent","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Important & Urgent","not relevant",,"not relevant","not relevant","important but not urgent","important & urgent","important & urgent","not relevant","not relevant","not relevant","important & urgent",relevant,"important & urgent",relevant,relevant,relevant,"not relevant","not relevant","important but not urgent","important but not urgent","important but not urgent","not relevant","important but not urgent",,relevant,relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,,,NLM,"I live and breath BigData, I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies, I want to learn more about BigData",,,,,,,,,,,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",
31310292,"2012-09-16 09:35:29","2012-09-16 09:55:01",80.108.227.125,AT,Austria,"Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,relevant,relevant,relevant,"not relevant","Important & Urgent",relevant,"not relevant","Important & Urgent",relevant,"Important but Not Urgent",relevant,,"important but not urgent","not relevant","important but not urgent","not relevant","not relevant","important & urgent","important but not urgent","not relevant","not relevant","not relevant",relevant,"not relevant",relevant,relevant,relevant,relevant,"not relevant","not relevant","not relevant",,"not relevant",,"important but not urgent","important & urgent",relevant,"not relevant",relevant,"not relevant","not relevant",relevant,"not relevant","important but not urgent","not relevant",relevant,"important but not urgent","not relevant","important but not urgent","not relevant",relevant,"not relevant","not relevant",,,,,"I embrace and plan for data heterogeneity from the start",,,,,,,,,,,"Browser, Direct",WinXP,"Chrome 0.0",
31310939,"2012-09-16 10:04:32","2012-09-16 10:10:36",82.225.147.145,FR,France,"not relevant","not relevant","Important but Not Urgent",relevant,"not relevant","not relevant","not relevant",relevant,"Important & Urgent","Important but Not Urgent",relevant,"not relevant",relevant,"Important & Urgent","Important but Not Urgent",,relevant,"not relevant","important & urgent",,"important but not urgent","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent",,"important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant",,"important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,,,,"XHTML1, XHTML5","I want to reduce complexity in my data tooling/technologies",,,,,,,,,,,"Browser, Direct",Linux,"Firefox 14.0",
31311380,"2012-09-16 10:13:45","2012-09-16 10:19:58",212.98.87.126,DK,Denmark,"Important & Urgent","not relevant","Important & Urgent","Important & Urgent",relevant,relevant,"not relevant","Important & Urgent","Important & Urgent","Important & Urgent",relevant,relevant,relevant,"Important & Urgent","Important but Not Urgent",,relevant,"important & urgent","important & urgent","important but not urgent",relevant,relevant,relevant,relevant,"important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important & urgent","important & urgent","important but not urgent","important & urgent",,"important & urgent",,"important but not urgent",relevant,"important & urgent",relevant,"important & urgent",relevant,"important but not urgent",relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,"important but not urgent",,,,,"I live and breath the Web + JSON stack, I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack",,,,,,,,,,,"Browser, Direct",Linux,"Chrome 18.0",
31315233,"2012-09-16 11:38:08","2012-09-16 11:48:23",200.25.195.169,EC,Ecuador,"Important & Urgent","Important but Not Urgent",relevant,relevant,relevant,relevant,"not relevant","not relevant",relevant,"Not Important but Urgent",relevant,relevant,relevant,"Important & Urgent",relevant,MicroXML,relevant,relevant,relevant,"not relevant","not relevant",relevant,relevant,"not relevant","important & urgent",relevant,relevant,relevant,relevant,relevant,relevant,relevant,"not relevant","not important but urgent","not relevant","not relevant","not relevant",,relevant,relevant,"important & urgent","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant",relevant,"not relevant","not relevant","not relevant","not relevant",,"not relevant","not relevant","not relevant",relevant,,,,DITA,"I live and breath the XML stack, I embrace and plan for data heterogeneity from the start",,,,,,,,,,"Surprised DITA was missing from vocabularies.  We create conversion software for both FrameMaker (Mif2Go) and DITA (DITA2Go) source, to numerous targets including many Help systems, Word, XML, HTML, XHTML, DITA, and DocBook. We are considering MicroXML for internal use in that software.","Browser, Direct","Windows 7","Firefox 3.6",
31317271,"2012-09-16 12:12:37","2012-09-16 12:19:08",96.244.162.32,US,"United States","Important & Urgent","Important & Urgent","Important & Urgent","not relevant","not relevant","not relevant",relevant,relevant,relevant,"Not Important but Urgent","not relevant","Important & Urgent","not relevant","Not Important but Urgent","not relevant",,relevant,relevant,"important & urgent","important & urgent","important & urgent","important but not urgent",,"important but not urgent",relevant,"important & urgent",relevant,"not relevant",relevant,"important & urgent","not relevant","important & urgent","important & urgent","not relevant","important & urgent","not relevant","important & urgent",,"important but not urgent","important & urgent","important but not urgent","important & urgent","important & urgent","not relevant",relevant,"important but not urgent","important but not urgent","important but not urgent",relevant,"not relevant","important but not urgent","important & urgent",relevant,"not relevant",relevant,relevant,"important & urgent",,,,,"I live in RDBMS land, I embrace and plan for data heterogeneity from the start, I live and breath the XML stack, I live and breath BigData, I live and breath the Web + JSON stack","important & urgent","important & urgent","important & urgent","important & urgent",relevant,"important & urgent","not relevant","important & urgent","important & urgent","Jim,    Not really sure about the distinction between ""important but not urgent' and ""relevant"", but other than that, it's a good survey.     Kurt Cagle","Browser, Direct",Linux,"Chrome 18.0",
31325728,"2012-09-16 13:17:00","2012-09-16 15:27:16",88.184.96.38,FR,France,"Important & Urgent","Not Important but Urgent","Not Important but Urgent",relevant,relevant,relevant,"not relevant","Important & Urgent","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Not Important but Urgent",relevant,"not relevant",relevant,,"important & urgent",relevant,"important & urgent","important & urgent","important & urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent",relevant,"important & urgent",relevant,"not important but urgent","important but not urgent","important but not urgent","important & urgent","important but not urgent",relevant,relevant,,"important but not urgent",,"important but not urgent","important but not urgent",relevant,relevant,relevant,relevant,"not important but urgent","important & urgent","important & urgent",relevant,"not relevant","not relevant",relevant,relevant,"not relevant",relevant,relevant,relevant,"important & urgent",,,,"DITA, ePUB","I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack, I want to learn more about BigData","important & urgent","important & urgent","not important but urgent","important & urgent","not important but urgent",relevant,relevant,"important & urgent","important & urgent",,"Browser, Direct",Linux,"Chrome 18.0",
31329268,"2012-09-16 16:49:40","2012-09-16 17:01:16",82.74.111.11,NL,Netherlands,"Important & Urgent",relevant,"Important & Urgent","Important but Not Urgent","Important & Urgent","not relevant","not relevant",relevant,"Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","not relevant",relevant,"Important & Urgent",,relevant,relevant,"important & urgent",relevant,"important & urgent","important & urgent","important & urgent",relevant,"important & urgent","not relevant","not relevant","important but not urgent",relevant,"important & urgent","important & urgent","important & urgent","important & urgent",relevant,"important & urgent",,"important & urgent",,"not relevant","important & urgent",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","important & urgent","important but not urgent",relevant,,"I live and breath the XML stack",relevant,relevant,"not relevant","important & urgent",relevant,relevant,"not relevant","important but not urgent",relevant,,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
31329961,"2012-09-16 17:18:36","2012-09-16 17:22:03",186.212.183.51,BR,Brazil,,,,,,,,,,,,"Important & Urgent",,"Important but Not Urgent",,,,,,,,"important but not urgent",,"important but not urgent",,,,,,"important & urgent",,,"important & urgent",,"important & urgent",,"important but not urgent",,,,,,,,,,"important & urgent",,,,,,,,,,,,,,,"I want to reduce complexity in my data tooling/technologies, I embrace and plan for data heterogeneity from the start",,,,,"not relevant","important but not urgent","important but not urgent",,,,"Browser, Direct",Linux,"Chrome 0.0",
31333850,"2012-09-16 19:51:58","2012-09-16 19:53:54",81.250.171.36,FR,France,"Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","not relevant",relevant,relevant,relevant,"not relevant","not relevant",relevant,,,,,,"important & urgent",,,"important & urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","important & urgent","important & urgent","not relevant","important but not urgent","important but not urgent","important but not urgent",,"important but not urgent",,,,,,,,,,,,,,,,,,,,,,,,,"I live and breath the Web + JSON stack, I live and breath BigData, I live and breath the XML stack","important & urgent","important & urgent","important & urgent","important & urgent",,,,,,,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",
31339723,"2012-09-17 00:27:46","2012-09-17 00:31:48",83.81.179.52,NL,Netherlands,"Important but Not Urgent","Important but Not Urgent","Important & Urgent","Not Important but Urgent","Not Important but Urgent","Not Important but Urgent",relevant,"not relevant","not relevant","Important but Not Urgent","Not Important but Urgent","not relevant","not relevant","Important & Urgent","not relevant",,"not relevant","important & urgent","important & urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","important & urgent","not relevant","important & urgent","not relevant","not relevant","not relevant","important & urgent","not relevant","important & urgent","not relevant","not relevant",,"important & urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","important & urgent","not relevant",,"I live and breath BigData","important & urgent","not important but urgent","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","important but not urgent",,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
